Signature ID,Percent Overlap (SCC25_PI),adj p-val (SCC25_PI),Overlap (SCC25_PI),Score (SCC25_PI)
KINASE-iKiP_PLK1,18.6,0.6158850637,P13797;S339-p;u|P11387;S10-p;u|P08621;S410-p;u|Q9Y266;T145-p;u|O60716;T869-p;u|P63167;S14-p;u|P20290;S201-p;u|Q14151;S207-p;u|P13797;S326-p;u|P68371;T55-p;u|Q9C0C2;S936-p;u|Q9UQ80;T386-p;u|Q9NYL9;S25-p;u|O60716;T916-p;u|Q13541;S112-p;u|P35579;T1151-p;u|Q99614;S83-p;u|Q7Z2W4;S492-p;u|Q15293;S80-p;u|Q13283;S149-p;u|P67809;S313-p;u|Q9NRF8;S574-p;u|P04083;S173-p;u|O43852;S69-p;u|P08670;S459-p;u|O00629;S60-p;u|O60716;S920-p;u|O60841;S66-p;u|O43399;S21-p;u,-1.0561000109
KINASE-iKiP_PIM3,20.8,0.0580608581,P23396;S104-p;u|O60716;S230-p;u|P04792;S83-p;u|P23381;S351-p;u|Q14566;S271-p;u|Q5VSL9;S335-p;u|Q13177;S152-p;u|P34932;S76-p;u|P26639;S39-p;u|Q9UNN5;S582-p;u|P35269;T156-p;u|P51116;S603-p;u|P60228;S442-p;u|Q92882;S202-p;u|P23588;S406-p;u|P46013;S648-p;u|Q9Y2X7;S592-p;u|Q8NBJ5;S616-p;u|Q9Y2I7;S307-p;u|Q5JSZ5;S1132-p;u,-3.3201999664
KINASE-iKiP_PIM1,19.1,0.9015599785,Q4G0J3;S300-p;u|O76003;S117-p;u|Q9NR19;S30-p;u|P31943;S54-p;u|Q9NRL2;S1363-p;u|P40818;S718-p;u|P07437;T55-p;u|P13797;S326-p;u|P68371;T55-p;u|Q14204;S4368-p;u|Q13523;S580-p;u|Q14566;S271-p;u|O15143;S336-p;u|P26639;S39-p;u|P62280;S110-p;u|Q9UNN5;S582-p;u|P35269;T156-p;u|P51116;S603-p;u|P22626;S344-p;u|O94826;S91-p;u|Q9UQ35;S876-p;u|P78362;S494-p;u|P22059;S379-p;u|P60228;S442-p;u|Q9Y2I7;S307-p;u|P06744;S107-p;u|Q6Y7W6;S236-p;u,-0.3677999973
KINASE-iKiP_PIK3R5,50,0.1610916076,P49736;S139-p;u|Q8NFC6;S484-p;u|Q13547;S421-p;u|Q9HCN4;S338-p;u|Q9H1E3;S113-p;u|P07900;S263-p;u|Q7Z4V5;S370-p;u|O60841;S137-p;u|Q8N9T8;S171-p;u|P25205;S711-p;u|Q96D46;S468-p;u|Q8NE71;S109-p;u|O60231;S106-p;u|O00264;S57-p;u|O76021;S361-p;u|O60841;S190-p;u,-2.7623000145
KINASE-iKiP_PHKG2,28.2,0.6723735409,O76003;S117-p;u|P04792;S15-p;u|P40818;S718-p;u|O75569;S18-p;u|P23396;S104-p;u|Q15185;S85-p;u|P53999;S111-p;u|Q6PCE3;S175-p;u|P29692;S86-p;u|P07900;S476-p;u|P04406;S151-p;u|P12956;S477-p;u|P14618;S77-p;u|Q13442;S176-p;u|P53999;S104-p;u|P04083;S170-p;u|Q15293;S80-p;u|P60228;S442-p;u|Q8IY81;S688-p;u|P07900;T109-p;u,0.9477000237
KINASE-iKiP_PAK5,31.4,0.7199507581,Q01813;S386-p;u|O96013;S181-p;u|P09972;S45-p;u|P46459;S207-p;u|Q13501;S24-p;u|O15372;S290-p;u|Q14566;S271-p;u|P49736;S229-p;u|P18615;S131-p;u|O15357;S1176-p;u|Q9C0C2;S893-p;u,0.8065999746
KINASE-iKiP_PAK3,14.3,0.6025494628,Q02818;S369-p;u|P05783;S305-p;u|Q9NRY5;S209-p;u|P46459;S207-p;u|O94903;S244-p;u|Q13501;S24-p;u|Q7Z5L9;S457-p;u|O15372;S290-p;u|P46777;S230-p;u|Q14566;S271-p;u|P18669;S118-p;u|Q7KZF4;S150-p;u|O00571;S594-p;u|Q86V48;T958-p;u|P49736;S229-p;u|P04083;S170-p;u|Q9Y2V2;S52-p;u|Q13177;S197-p;u|P11142;S113-p;u|Q9H910;S45-p;u|Q9Y5M8;S257-p;u,-1.07099998
KINASE-iKiP_PAK2,27.6,0.8182399318,O95292;S158-p;u|Q02818;S369-p;u|Q8WZA9;S44-p;u|Q01813;S386-p;u|P04792;S15-p;u|P07384;S474-p;u|P05783;S305-p;u|Q9NRY5;S209-p;u|P14866;S544-p;u|P46459;S207-p;u|P11142;S362-p;u|O94903;S244-p;u|Q9P206;T162-p;u|Q13501;S24-p;u|O94804;S454-p;u|Q7Z5L9;S457-p;u|O15372;S290-p;u|Q4G0J3;S258-p;u|Q13177;T169-p;u|P16949;S16-p;u|Q8WUX9;S417-p;u|P46777;S230-p;u|Q14566;S271-p;u|O14579;S99-p;u|Q13177;S152-p;u|P18669;S118-p;u|O95714;S2928-p;u|P15056;S446-p;u|Q9UQ35;S1101-p;u|Q7KZF4;S150-p;u|P49736;S229-p;u|Q7Z5L9;S455-p;u|Q13177;S197-p;u|P46013;S648-p;u|Q9P206;S161-p;u|Q96ST2;S554-p;u|Q13561;S83-p;u|Q9Y5K6;S458-p;u|Q7Z5L9;S240-p;u|Q9BRK5;S357-p;u|Q8WUX9;S410-p;u|Q9H910;S45-p;u,-0.5758000016
KINASE-iKiP_PAK1,24.8,0.9624808959,Q02818;S369-p;u|Q01813;S386-p;u|P05783;S305-p;u|Q9NRL2;S1363-p;u|Q07866;S524-p;u|P14866;S544-p;u|P18669;S23-p;u|P46459;S207-p;u|Q9BTC0;S1456-p;u|O94903;S244-p;u|P62701;S204-p;u|P53999;S111-p;u|Q13501;S24-p;u|O94804;S454-p;u|O15372;S290-p;u|P29692;S86-p;u|Q9C0C2;S872-p;u|P16949;S16-p;u|Q12965;S1002-p;u|Q13153;T212-p;u|Q14566;S271-p;u|Q96T58;S1268-p;u|P18669;S118-p;u|Q7KZF4;S150-p;u|P62805;S48-p;u|P49736;S229-p;u|P53999;S104-p;u|P18615;S131-p;u|Q13153;S204-p;u|P60228;S442-p;u|Q92882;S202-p;u|P46013;S648-p;u|P51858;S107-p;u|O95714;T1944-p;u|Q9C0C2;S893-p;u|Q5JSZ5;S1132-p;u,0.1242000014
KINASE-iKiP_NUAK2,22.8,0.6644671573,P43490;S472-p;u|P13798;S187-p;u|O94888;S280-p;u|Q96PK6;S520-p;u|Q9Y580;S136-p;u|Q92609;S541-p;u|O15226;S618-p;u|Q9H0H5;S257-p;u|P55010;S10-p;u|P05387;S17-p;u|O60447;S689-p;u|Q13586;S521-p;u|Q96IZ0;S259-p;u|O95835;S464-p;u|Q99618;S94-p;u|Q9Y4B5;S1385-p;u|Q7LBC6;S766-p;u|O43399;S21-p;u,0.9580000043
KINASE-iKiP_NTRK3,9.6,0.2526060115,O15357;Y1135-p;u|P07355;Y30-p;u|P00338;Y10-p;u|P43490;S472-p;u|P62273;S9-p;u|P11142;S362-p;u|P06733;S272-p;u|Q9C0C2;S899-p;u|P19338;S356-p;u|P18669;S118-p;u|Q96FW1;S16-p;u|P47914;S142-p;u|P62854;S54-p;u|P06733;S419-p;u|Q9UQ80;S2-p;u|P08865;S75-p;u,2.163599968
KINASE-iKiP_NLK,32.8,0.8986944641,Q9Y2X7;S362-p;u|O14745;S280-p;u|P23396;T242-p;u|P53621;S173-p;u|P51812;S715-p;u|P40818;S392-p;u|Q9UBE8;T298-p;u|P32322;S301-p;u|O00178;S25-p;u|P53396;S481-p;u|P30050;S165-p;u|Q8N556;S668-p;u|Q96EN8;S530-p;u|Q14258;S100-p;u|Q9NYB0;S203-p;u|P06733;S263-p;u|P08758;S37-p;u|Q9BSJ8;S1034-p;u|P52597;S104-p;u|P32322;S294-p;u|Q15365;S190-p;u|Q86WB0;S344-p;u|Q13501;S272-p;u|Q6ZW49;S235-p;u|P28066;S16-p;u|P12268;S122-p;u|O75533;T223-p;u|Q13501;T269-p;u|P04083;S170-p;u|Q9UHR4;S261-p;u|Q8WXI9;T120-p;u|Q15018;S280-p;u|P52292;S62-p;u|P16152;S56-p;u|Q8WXI9;S135-p;u|P60228;S442-p;u|Q9H1A4;S355-p;u|Q8NBJ5;S616-p;u|P49792;T1144-p;u|Q09666;S41-p;u|P57740;S11-p;u|P25789;S13-p;u|Q9Y5M8;S257-p;u,-0.3901999891
KINASE-iKiP_NIM1K,22.7,0.1394871795,Q9HD42;S101-p;u|P13797;S339-p;u|P43490;S472-p;u|P04792;S176-p;u|P33316;S243-p;u|P07384;S474-p;u|Q9NRY5;S209-p;u|P13798;S187-p;u|P00568;S38-p;u|P15924;S2526-p;u|O60716;S230-p;u|Q07021;S213-p;u|Q15185;S85-p;u|P24534;S174-p;u|O94903;S244-p;u|P18206;S809-p;u|P49736;S170-p;u|P05783;S312-p;u|Q9UKX7;S52-p;u|Q9H0H5;S257-p;u|Q9P265;S203-p;u|P55010;S10-p;u|P07437;S40-p;u|Q09666;S220-p;u|Q86WB0;S354-p;u|Q9NYL9;S25-p;u|P10398;S157-p;u|P34932;S415-p;u|Q13541;S112-p;u|P29692;S162-p;u|Q15172;S49-p;u|P14618;S100-p;u|Q16204;S325-p;u|Q9C0C2;S724-p;u|O60749;S119-p;u|Q7Z2W4;S492-p;u|O60232;S103-p;u|O43852;S69-p;u|P60228;S442-p;u|P55072;S13-p;u|Q9H3N1;S270-p;u|Q9H910;S45-p;u,2.6129999161
KINASE-iKiP_NEK9,19.1,0.2508738118,P04792;S176-p;u|P07437;T290-p;u|Q8TD19;S29-p;u|Q92522;S2-p;u|Q07020;S130-p;u|P07195;S44-p;u|P20290;S201-p;u|P53999;S111-p;u|Q9UKX7;S52-p;u|Q8TD19;T333-p;u|P13797;S326-p;u|P09429;S35-p;u|Q13263;S501-p;u|P14209;S168-p;u|P16989;S370-p;u|Q96HE7;S145-p;u|P14618;S77-p;u|Q96IZ0;S259-p;u|P07437;T285-p;u|Q7Z4V5;S369-p;u|P15311;S413-p;u|P53999;S104-p;u|P47914;S142-p;u|P62854;S54-p;u|Q8TD19;S869-p;u|P30041;S186-p;u|P16989;S369-p;u|O43852;S69-p;u|P55072;S13-p;u|Q9C0C2;S494-p;u|Q9C0C2;S498-p;u|O60841;S66-p;u|Q86V81;S8-p;u|O43399;S21-p;u|P08865;S75-p;u,-2.1579999924
KINASE-iKiP_NEK7,14.2,0.6010068414,P11940;T319-p;u|P12270;S1185-p;u|Q12888;S507-p;u|P07437;T55-p;u|Q8N1F7;S72-p;u|P11142;S362-p;u|P11142;S329-p;u|P07195;S44-p;u|P49736;S170-p;u|P15531;T94-p;u|P68371;T55-p;u|P49792;S2270-p;u|Q13263;S501-p;u|P35221;S295-p;u|P14618;S77-p;u|Q92890;S217-p;u|P14618;S100-p;u|P49792;S1613-p;u|Q7KZF4;S909-p;u|Q15293;S80-p;u|O94888;S288-p;u|O43852;S69-p;u|Q8IY81;S688-p;u|O60716;S920-p;u|Q8N6T3;S246-p;u|Q86V81;S8-p;u|P08865;S75-p;u|Q9Y5X1;S116-p;u,-1.098099947
KINASE-iKiP_NEK6,12.2,0.5983233127,P11387;S10-p;u|P52597;S107-p;u|P12270;S1185-p;u|Q8N1F7;S72-p;u|Q07021;S213-p;u|P11142;S329-p;u|Q9H3N1;S228-p;u|P68371;T55-p;u|P07900;S476-p;u|P07355;S164-p;u|P14618;S77-p;u|P46777;S230-p;u|P35579;T1151-p;u|O95292;S160-p;u|P49792;S1613-p;u|Q7KZF4;S909-p;u|Q96AC1;S666-p;u|P04083;S173-p;u|O43852;S69-p;u|O95292;S156-p;u|Q8IY81;S688-p;u|Q96PK6;S620-p;u|Q9Y5X1;S116-p;u|P05783;S399-p;u,-1.147300005
KINASE-iKiP_NEK4,14.7,0.6283594245,P26373;S109-p;u|P23396;S104-p;u|Q07021;S213-p;u|P24534;S174-p;u|P51957;S461-p;u|P07195;S44-p;u|P68371;T55-p;u|P18621;S111-p;u|Q9UQ80;T386-p;u|P04406;S151-p;u|Q8WXX5;S215-p;u|Q96HE7;S145-p;u|P55010;T227-p;u|O43290;T430-p;u|P35579;T1151-p;u|P51957;S639-p;u|Q86V81;S94-p;u,1.0375000238
KINASE-iKiP_NEK2,16.1,0.3992029802,P15880;T285-p;u|P08195;S134-p;u|O43852;S300-p;u|P12270;S1185-p;u|P62273;S9-p;u|P05783;S319-p;u|P11142;S362-p;u|P11142;S329-p;u|P35221;S690-p;u|P53999;S111-p;u|P52597;S187-p;u|O15372;S290-p;u|P13797;S326-p;u|P15531;T94-p;u|O43175;T78-p;u|P49792;S2270-p;u|Q9UQ80;T386-p;u|P07900;T624-p;u|O15127;T109-p;u|P14618;S77-p;u|P35221;S652-p;u|P35579;T1151-p;u|P29692;S162-p;u|P11142;S153-p;u|Q7KZF4;S150-p;u|P49736;S229-p;u|P53999;S104-p;u|P35579;S1195-p;u|P08670;S459-p;u|Q86V81;S8-p;u|O43399;S21-p;u|P08865;S75-p;u,1.5083999634
KINASE-iKiP_NEK1,19.3,0.1766576658,P15880;T285-p;u|P11940;T319-p;u|P04792;S176-p;u|P07437;T290-p;u|P15924;T61-p;u|P07437;T55-p;u|P31943;S281-p;u|Q92522;S2-p;u|Q07020;S130-p;u|P53999;S111-p;u|P15531;T94-p;u|O43175;T78-p;u|P10412;T18-p;u|O15127;T109-p;u|P07355;S127-p;u|P19338;S356-p;u|P14618;S77-p;u|O43290;T430-p;u|P35579;T1151-p;u|P07437;T285-p;u|Q9C0C2;S724-p;u|P19338;S532-p;u|P53999;S104-p;u|P04083;S170-p;u|P06733;S419-p;u|P55072;S13-p;u|P07195;S320-p;u,2.4595000744
KINASE-iKiP_MYLK2,30.6,1,P40818;S718-p;u|Q92522;S2-p;u|Q15185;S85-p;u|Q9P206;T162-p;u|Q96IZ0;T163-p;u|P46013;S1098-p;u|O60749;S119-p;u|P49736;S229-p;u|P30041;S186-p;u|P18615;S51-p;u|Q9P206;S161-p;u,0.0087000001
KINASE-iKiP_MTOR,58.8,0.834646525,P27708;S1038-p;u|P42345;S1418-p;u|P07195;S44-p;u|P06733;S272-p;u|P42345;S2478-p;u|P42345;S2481-p;u|P29966;S27-p;u|P17812;S574-p;u|P15374;S130-p;u|P05187;S114-p;u,-0.5572999716
KINASE-iKiP_MOK,31.6,0.1965774462,Q8WZA9;S44-p;u|P51812;S715-p;u|Q14247;T399-p;u|Q86WB0;S370-p;u|Q8IY81;T573-p;u|Q7Z5K2;S221-p;u|P50402;S171-p;u|Q9NTJ3;S22-p;u|P48637;S415-p;u|O00116;S65-p;u|P19338;S563-p;u|Q9UQ35;S2694-p;u|Q5VSL9;S335-p;u|Q9NYM9;S9-p;u|Q7Z4V5;S652-p;u|Q13112;S410-p;u|Q14247;T401-p;u|P54259;S101-p;u|Q13573;S224-p;u|Q7KZF4;S781-p;u|Q9Y3E2;S81-p;u|P15924;S2825-p;u|Q6Y7W6;S236-p;u|Q14980;S1862-p;u|Q9C0C2;S695-p;u,-2.5989000797
KINASE-iKiP_MKNK2,15.2,0.7374917447,Q96GQ7;S79-p;u|P04792;S15-p;u|P04792;S176-p;u|P53999;S111-p;u|P23381;S351-p;u|Q9UQ35;S1101-p;u|P53999;S104-p;u|P04083;S173-p;u|P46013;S648-p;u|Q9HBH9;S452-p;u,0.7753999829
KINASE-iKiP_MINK1,12.7,0.012,P51858;T184-p;u|P22626;T140-p;u|P23396;T242-p;u|P51858;S239-p;u|P62273;S9-p;u|P42166;T137-p;u|O60716;T869-p;u|P31943;S281-p;u|O60716;S230-p;u|O43175;T78-p;u|Q9UQ80;T386-p;u|P07900;T624-p;u|Q9Y5K6;S463-p;u|P55010;T227-p;u|Q01650;T45-p;u,4.5531001091
KINASE-iKiP_MELK,40,0.7424320059,Q96PK6;S520-p;u|P04792;S83-p;u|O15226;S618-p;u|P42694;S1738-p;u|Q9H0H5;S257-p;u|P55010;S10-p;u|Q12965;S1002-p;u|Q9Y4B5;S1385-p;u|O43852;S69-p;u|P48634;S456-p;u,-0.7332999706
KINASE-iKiP_MATK.CTK,26.5,0.5850001284,P49023;Y88-p;u|Q8TAD8;S35-p;u|Q14247;S447-p;u|Q9UQ35;S1648-p;u|Q9Y266;S139-p;u|P18669;Y92-p;u|Q9H6F5;Y109-p;u|Q6PCE3;S175-p;u|Q9UQ35;S2398-p;u|Q13158;S194-p;u|O60841;S107-p;u|Q9Y2U5;S164-p;u|Q9H6F5;S91-p;u|Q92882;S213-p;u|Q9C0C9;S87-p;u|Q9C0C9;S89-p;u|P85037;S445-p;u|O94826;S91-p;u|Q9UQ35;S876-p;u|Q05639;Y29-p;u|P06744;S107-p;u|Q15121;S116-p;u,-1.1697000265
KINASE-iKiP_MARK4,23.7,0.700729927,P13797;S339-p;u|P42694;S1741-p;u|Q01813;S386-p;u|P04792;S176-p;u|P07384;S474-p;u|P40818;S718-p;u|P13798;S187-p;u|Q13200;S147-p;u|P15924;S2526-p;u|O60716;S230-p;u|P24534;S174-p;u|O94903;S244-p;u|P22059;S385-p;u|P49736;S170-p;u|Q8WU90;S231-p;u|Q92609;S541-p;u|P42694;S1738-p;u|P52597;S187-p;u|Q9H0H5;S257-p;u|Q9P265;S203-p;u|P07437;S40-p;u|Q09666;S220-p;u|P10398;S157-p;u|P26373;S106-p;u|Q14192;S238-p;u|Q86X02;S318-p;u|Q16204;S325-p;u|Q9C0C2;S724-p;u|O60749;S119-p;u|O14980;S1031-p;u|Q7Z2W4;S494-p;u|O94776;S54-p;u|Q15293;S80-p;u|O43852;S69-p;u|P55769;S122-p;u|O76021;S361-p;u|Q96PK6;S620-p;u|Q9UJ70;S76-p;u|Q9P260;S180-p;u|P27816;S1073-p;u|Q9C0C2;S1158-p;u,0.8381999731
KINASE-iKiP_MARK3,23.6,0.95775494,P05783;S305-p;u|P13798;S187-p;u|P00568;S38-p;u|O60716;S230-p;u|Q96PK6;S520-p;u|P07195;S44-p;u|P49736;S170-p;u|Q92609;S541-p;u|O15226;S618-p;u|Q9H0H5;S257-p;u|Q9P265;S203-p;u|P07437;S40-p;u|P10398;S157-p;u|P26373;S106-p;u|P19338;S356-p;u|Q3MII6;S506-p;u|P14618;S100-p;u|Q01650;S35-p;u|Q16204;S325-p;u|O60749;S119-p;u|Q15185;S113-p;u|Q7Z2W4;S492-p;u|P55769;S122-p;u|Q96PK6;S620-p;u|Q9P260;S180-p;u|P27816;S1073-p;u,-0.1598999947
KINASE-iKiP_MARK2,22.2,0.6305772281,P04792;S176-p;u|P07384;S474-p;u|P40818;S718-p;u|P00568;S38-p;u|O60716;S230-p;u|Q07021;S213-p;u|Q15185;S85-p;u|O94903;S244-p;u|Q96PK6;S520-p;u|P22059;S385-p;u|P49736;S170-p;u|Q92609;S541-p;u|O15226;S618-p;u|P42694;S1738-p;u|P52597;S187-p;u|Q9H0H5;S257-p;u|Q9P265;S203-p;u|P07437;S40-p;u|P10398;S157-p;u|P26373;S106-p;u|Q3V6T2;S1702-p;u|P19338;S356-p;u|P31943;S161-p;u|Q3MII6;S506-p;u|Q16204;S325-p;u|O60749;S119-p;u|P35579;S1943-p;u|Q7Z2W4;S494-p;u|Q7Z2W4;S492-p;u|O94776;S54-p;u|P55769;S122-p;u|Q86V81;S8-p;u|Q9P260;S180-p;u|O75122;S327-p;u|Q9NSY1;S1032-p;u|Q9Y5M8;S257-p;u|Q15121;S116-p;u,-1.0552999973
KINASE-iKiP_MARK1,23.9,0.8280038537,P13797;S339-p;u|P04792;S176-p;u|P07384;S474-p;u|P40818;S718-p;u|P13798;S187-p;u|P00568;S38-p;u|Q13200;S147-p;u|Q07021;S213-p;u|O94903;S244-p;u|P07195;S44-p;u|P49736;S170-p;u|Q92609;S541-p;u|O15226;S618-p;u|P52597;S187-p;u|Q9H0H5;S257-p;u|Q9P265;S203-p;u|P07437;S40-p;u|Q09666;S220-p;u|P10398;S157-p;u|Q14192;S238-p;u|P19338;S356-p;u|Q01650;S35-p;u|Q16204;S325-p;u|O60749;S119-p;u|Q7Z2W4;S492-p;u|O94776;S54-p;u|Q15293;S80-p;u|P30041;S186-p;u|O43852;S69-p;u|P55769;S122-p;u|Q9P260;S180-p;u|Q9C0C2;S1158-p;u|Q15121;S116-p;u,0.5253000259
KINASE-iKiP_MAPKAPK5,39.7,0.3742690058,Q96C86;S24-p;u|P04792;S15-p;u|O14745;S280-p;u|Q09666;S93-p;u|Q92530;S153-p;u|Q9Y5B9;S650-p;u|O75569;S18-p;u|Q9C0C2;S1385-p;u|Q53EL6;T93-p;u|O14545;S327-p;u|Q8WX93;S479-p;u|Q92522;S2-p;u|P11142;S362-p;u|O94888;S280-p;u|P07195;S44-p;u|P23396;T221-p;u|O15226;S618-p;u|Q9Y6G9;S516-p;u|Q9BZD4;S171-p;u|P29692;S86-p;u|P36915;S68-p;u|O60927;S77-p;u|P00966;T219-p;u|P19338;S580-p;u|Q9NTJ3;S22-p;u|P30533;S247-p;u|Q09666;T3716-p;u|P12956;S477-p;u|Q9Y2U5;S239-p;u|P14618;S77-p;u|P46777;S230-p;u|Q12965;S1002-p;u|Q9H0K1;S587-p;u|Q01650;S35-p;u|Q16204;S325-p;u|Q8NE71;S595-p;u|P34932;S76-p;u|Q16204;S323-p;u|Q92945;S181-p;u|P24928;T1885-p;u|P55081;S132-p;u|P55081;S133-p;u|P46013;S308-p;u|Q92882;S202-p;u|P14866;S101-p;u|O14745;S290-p;u|O14545;S409-p;u|Q09666;T4100-p;u|O95625;S511-p;u|Q9H2K8;S324-p;u|Q9H3N1;S270-p;u|P05187;S114-p;u|Q6Y7W6;S236-p;u|Q9Y3X0;T381-p;u|Q8IVT2;S400-p;u|O95747;S359-p;u,-1.744699955
KINASE-iKiP_MAPKAPK3,30.5,0.7436911226,Q9UNZ2;S176-p;u|Q13573;S182-p;u|Q9UHI6;S268-p;u|P16333;S85-p;u|O76003;S117-p;u|P04792;S15-p;u|Q09666;S93-p;u|Q9Y5B9;S650-p;u|O75569;S18-p;u|O14545;S470-p;u|Q8WX93;S479-p;u|Q96BY7;S497-p;u|O94888;S280-p;u|P18206;S809-p;u|Q9Y580;S136-p;u|O00170;S43-p;u|O15226;S618-p;u|Q9Y6G9;S516-p;u|Q9BZD4;S171-p;u|P29692;S86-p;u|Q9C0C9;S399-p;u|P55010;S10-p;u|Q9Y6Y0;S338-p;u|Q86WB0;S354-p;u|P19338;S580-p;u|P30533;S247-p;u|Q09666;S210-p;u|P12956;S477-p;u|Q9Y2U5;S239-p;u|Q12965;S1002-p;u|P29692;S162-p;u|O95835;S464-p;u|Q01650;S35-p;u|P15056;S446-p;u|Q16204;S323-p;u|Q15545;S171-p;u|O43598;S28-p;u|Q9NQW6;S225-p;u|P04083;S170-p;u|Q96A57;S24-p;u|P55081;S132-p;u|P55081;S133-p;u|Q14204;S4162-p;u|O14745;S290-p;u|O14545;S409-p;u|Q9Y2X7;S592-p;u|P55196;S424-p;u|Q9UJ70;S76-p;u|O95625;S511-p;u|P05783;S18-p;u|Q5SW79;S881-p;u,0.7328000069
KINASE-iKiP_MAPKAPK2,34,0.2081118881,P04792;S15-p;u|P27708;S1038-p;u|Q9C0C2;S601-p;u|P51812;S715-p;u|O75569;S18-p;u|Q9C0C2;S1385-p;u|Q8TD19;S29-p;u|A0MZ66;T537-p;u|O14545;S327-p;u|Q8WX93;S479-p;u|P24928;S1878-p;u|Q8N556;S668-p;u|P04792;S83-p;u|Q9H910;S97-p;u|Q9NYB0;S203-p;u|O15226;S618-p;u|Q9BSJ8;S1034-p;u|Q9Y6G9;S516-p;u|Q9BZD4;S171-p;u|Q14160;S504-p;u|P55010;S10-p;u|Q15365;S190-p;u|Q9NTJ3;S22-p;u|Q09666;T3716-p;u|P12956;S477-p;u|P49137;T334-p;u|P24928;S1913-p;u|Q9Y4H2;S1203-p;u|Q12965;S1002-p;u|Q12888;S552-p;u|Q3MII6;S506-p;u|O95714;S2928-p;u|P15056;S446-p;u|Q16204;S323-p;u|P46109;S42-p;u|P24928;S1920-p;u|Q96AE4;S630-p;u|P11388;S1247-p;u|P24928;T1885-p;u|Q12888;S380-p;u|P46013;S308-p;u|Q9BYG3;T234-p;u|P60228;S442-p;u|Q9BYG3;T238-p;u|Q14204;S4162-p;u|Q9C0C2;S1383-p;u|Q09666;T4564-p;u|Q9H5H4;S97-p;u|Q5SW79;S881-p;u|Q9Y3X0;T381-p;u|Q09666;S41-p;u|Q8IVT2;S400-p;u|Q15121;S116-p;u|Q9UKX7;S221-p;u,-2.2839000225
KINASE-iKiP_MAPK9.JNK2,38,0.5434565435,Q8TCS8;S754-p;u|P17980;S376-p;u|P05198;T279-p;u|Q9Y2X7;S362-p;u|Q12792;S143-p;u|P27708;S1038-p;u|Q9BV73;S2229-p;u|Q09666;S93-p;u|P04792;S176-p;u|Q92530;S153-p;u|Q07960;S51-p;u|P32322;S301-p;u|O43242;S430-p;u|Q7L2J0;S254-p;u|Q9HCD6;S169-p;u|P20290;T182-p;u|Q07866;S460-p;u|P27816;S507-p;u|Q07020;S130-p;u|Q9H1A4;S313-p;u|Q13200;S16-p;u|Q15477;S245-p;u|Q99459;T396-p;u|Q9C0C2;S712-p;u|Q86WB0;S370-p;u|P06733;S263-p;u|A0MZ66;S494-p;u|Q86WB0;S335-p;u|P55209;T62-p;u|Q9Y6G9;S516-p;u|Q99459;T385-p;u|Q9Y2W2;S237-p;u|Q9NUQ3;S97-p;u|P32322;S294-p;u|Q14160;S504-p;u|Q96FZ2;S45-p;u|P06733;S272-p;u|Q96AE4;S140-p;u|O95757;T545-p;u|Q9P2E9;S1277-p;u|P00966;T219-p;u|O94776;S435-p;u|Q9NTJ3;S22-p;u|Q86WB0;S344-p;u|P15880;T252-p;u|Q09666;T3716-p;u|Q16643;T346-p;u|Q8N1F7;S430-p;u|Q9UGP4;S424-p;u|P35221;S295-p;u|Q13263;S752-p;u|P24928;S1913-p;u|Q15645;S18-p;u|O75533;T223-p;u|O75533;T227-p;u|Q14980;T2000-p;u|Q86UY5;S357-p;u|P29692;S162-p;u|Q8NC51;S234-p;u|Q09666;S216-p;u|O14613;S141-p;u|O14613;T137-p;u|Q12888;S1426-p;u|P49792;S1400-p;u|Q12888;S1430-p;u|Q15185;S113-p;u|Q9BZH6;S1216-p;u|O43765;T81-p;u|Q9UKS6;S319-p;u|Q13610;S57-p;u|Q15773;S238-p;u|P85037;T436-p;u|P04083;S170-p;u|P60866;T9-p;u|P04083;S37-p;u|P33991;S131-p;u|P52292;S62-p;u|Q12888;S380-p;u|P49023;S106-p;u|Q96E09;S143-p;u|Q96E09;S147-p;u|Q9H2U2;S317-p;u|Q9BYG3;T234-p;u|Q8WW12;T139-p;u|Q9BYG3;T238-p;u|P14866;S101-p;u|Q9C0C2;S494-p;u|Q9C0C2;S498-p;u|Q9UQ35;S1404-p;u|O00151;S130-p;u|Q9UQ35;T1413-p;u|Q09666;T4564-p;u|P49792;T1396-p;u|P04083;S34-p;u|Q09666;S41-p;u|P23246;T687-p;u|Q13541;S65-p;u|Q9UQ35;S2272-p;u,-1.2448999882
